eventid	version	sta	net	lat	lon	cluster	dist	tt	time	time check	active	trig	clu	ctrig
143	44	BSG	NC	36.4138	-121.2552	-	36.7	6.1	2018-10-05T13:29:49	25.0	1	1	0	0
143	44	CAO	NC	37.3485	-121.5347	-	70.17	11.7	2018-10-05T13:29:50	20.0	1	0	0	0
143	44	HCBB	NC	36.9309	-121.6619	-	35.13	5.9	2018-10-05T13:29:51	27.0	1	1	0	0
143	44	JAR	NC	36.9872	-122.0608	-	68.97	11.5	2018-10-05T13:29:50	21.0	1	1	0	0
143	44	JLAB	NC	37.1543	-121.7347	-	57.72	9.6	2018-10-05T13:29:50	22.0	1	1	0	0
143	44	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:51	28.0	1	1	0	0
143	44	MHC	BK	37.3416	-121.6426	-	72.25	12.0	2018-10-05T13:29:51	21.0	1	1	0	0
143	44	HAST	BK	36.3887	-121.5514	-	42.33	7.1	2018-10-05T13:29:51	26.0	1	1	0	0
143	44	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:51	31.0	1	1	0	0
143	44	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:49	28.0	1	1	0	0
143	44	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:50	27.0	1	1	0	0
143	44	BPRB	NC	36.4072	-121.7307	-	49.62	8.3	2018-10-05T13:29:50	24.0	1	1	0	0
143	44	HLP	NC	37.0413	-121.6319	-	42.2	7.0	2018-10-05T13:29:50	25.0	1	1	0	0
143	44	CCOB	NC	37.259	-121.6731	-	64.9	10.8	2018-10-05T13:29:44	15.0	1	0	0	0
143	44	JELB	NC	36.9274	-121.8276	-	47.39	7.9	2018-10-05T13:29:44	18.0	1	1	0	0
143	44	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:47	27.0	1	1	0	0
143	44	HMOB	NC	36.5993	-121.9181	-	52.6	8.8	2018-10-05T13:29:44	17.0	1	0	0	0
143	47	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:51	28.0	1	1	0	0
143	47	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:49	28.0	1	1	0	0
143	47	BBGB	NC	36.5785	-121.0396	-	32.88	5.5	2018-10-05T13:29:50	26.0	1	1	0	0
143	47	BSG	NC	36.4138	-121.2552	-	36.7	6.1	2018-10-05T13:29:50	26.0	1	1	0	0
143	47	CAO	NC	37.3485	-121.5347	-	70.17	11.7	2018-10-05T13:29:51	21.0	1	1	0	0
143	47	HCBB	NC	36.9309	-121.6619	-	35.13	5.9	2018-10-05T13:29:51	27.0	1	1	0	0
143	47	JAR	NC	36.9872	-122.0608	-	68.97	11.5	2018-10-05T13:29:51	22.0	1	1	0	0
143	47	JLAB	NC	37.1543	-121.7347	-	57.72	9.6	2018-10-05T13:29:50	22.0	1	1	0	0
143	47	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:51	28.0	1	1	0	0
143	47	MHC	BK	37.3416	-121.6426	-	72.25	12.0	2018-10-05T13:29:51	21.0	1	1	0	0
143	47	HAST	BK	36.3887	-121.5514	-	42.33	7.1	2018-10-05T13:29:51	26.0	1	1	0	0
143	47	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:51	31.0	1	1	0	0
143	47	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:50	29.0	1	1	0	0
143	47	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:50	27.0	1	1	0	0
143	47	BPRB	NC	36.4072	-121.7307	-	49.62	8.3	2018-10-05T13:29:51	25.0	1	1	0	0
143	47	HLP	NC	37.0413	-121.6319	-	42.2	7.0	2018-10-05T13:29:51	26.0	1	1	0	0
143	47	CCOB	NC	37.259	-121.6731	-	64.9	10.8	2018-10-05T13:29:44	15.0	1	0	0	0
143	47	JELB	NC	36.9274	-121.8276	-	47.39	7.9	2018-10-05T13:29:50	24.0	1	1	0	0
143	47	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:47	27.0	1	1	0	0
143	47	HMOB	NC	36.5993	-121.9181	-	52.6	8.8	2018-10-05T13:29:44	17.0	1	0	0	0
143	48	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:51	28.0	1	1	0	0
143	48	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:49	28.0	1	1	0	0
143	48	BBGB	NC	36.5785	-121.0396	-	32.88	5.5	2018-10-05T13:29:50	26.0	1	1	0	0
143	48	PMPB	NC	36.2159	-120.8013	-	75.86	12.6	2018-10-05T13:29:49	18.0	1	0	0	0
143	48	PCC	NC	36.0898	-121.1636	-	73.64	12.3	2018-10-05T13:29:51	21.0	1	0	0	0
143	48	BSG	NC	36.4138	-121.2552	-	36.7	6.1	2018-10-05T13:29:50	26.0	1	1	0	0
143	48	JBR	NC	37.1722	-122.0112	-	76.11	12.7	2018-10-05T13:29:51	20.0	1	0	0	0
143	48	CAO	NC	37.3485	-121.5347	-	70.17	11.7	2018-10-05T13:29:51	21.0	1	1	0	0
143	48	HCBB	NC	36.9309	-121.6619	-	35.13	5.9	2018-10-05T13:29:51	27.0	1	1	0	0
143	48	JAR	NC	36.9872	-122.0608	-	68.97	11.5	2018-10-05T13:29:51	22.0	1	1	0	0
143	48	JLAB	NC	37.1543	-121.7347	-	57.72	9.6	2018-10-05T13:29:50	22.0	1	1	0	0
143	48	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:51	28.0	1	1	0	0
143	48	MHC	BK	37.3416	-121.6426	-	72.25	12.0	2018-10-05T13:29:51	21.0	1	1	0	0
143	48	SCCB	BK	37.2874	-121.8642	-	76.44	12.7	2018-10-05T13:29:51	20.0	1	1	0	0
143	48	HAST	BK	36.3887	-121.5514	-	42.33	7.1	2018-10-05T13:29:51	26.0	1	1	0	0
143	48	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:51	31.0	1	1	0	0
143	48	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:50	29.0	1	1	0	0
143	48	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:50	27.0	1	1	0	0
143	48	BPRB	NC	36.4072	-121.7307	-	49.62	8.3	2018-10-05T13:29:51	25.0	1	1	0	0
143	48	JJO	NC	37.2063	-121.9773	-	76.36	12.7	2018-10-05T13:29:50	19.0	1	0	0	0
143	48	HLP	NC	37.0413	-121.6319	-	42.2	7.0	2018-10-05T13:29:51	26.0	1	1	0	0
143	48	CCOB	NC	37.259	-121.6731	-	64.9	10.8	2018-10-05T13:29:44	15.0	1	0	0	0
143	48	JELB	NC	36.9274	-121.8276	-	47.39	7.9	2018-10-05T13:29:50	24.0	1	1	0	0
143	48	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:47	27.0	1	1	0	0
143	48	HMOB	NC	36.5993	-121.9181	-	52.6	8.8	2018-10-05T13:29:44	17.0	1	0	0	0
143	55	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:52	29.0	1	1	0	0
143	55	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:50	29.0	1	1	0	0
143	55	BBGB	NC	36.5785	-121.0396	-	32.88	5.5	2018-10-05T13:29:51	28.0	1	1	0	0
143	55	PMPB	NC	36.2159	-120.8013	-	75.86	12.6	2018-10-05T13:29:51	20.0	1	0	0	0
143	55	PCC	NC	36.0898	-121.1636	-	73.64	12.3	2018-10-05T13:29:52	22.0	1	1	0	0
143	55	BSG	NC	36.4138	-121.2552	-	36.7	6.1	2018-10-05T13:29:52	28.0	1	1	0	0
143	55	JBR	NC	37.1722	-122.0112	-	76.11	12.7	2018-10-05T13:29:52	21.0	1	0	0	0
143	55	CAO	NC	37.3485	-121.5347	-	70.17	11.7	2018-10-05T13:29:52	22.0	1	1	0	0
